Clip Applicator(Red Bone Tag),ORTHO DEPT,3rd Floor
ESHMARK BANDAGE (4"/6"),ORTHO DEPT,3rd Floor
Wati with spoon,ORTHO DEPT,3rd Floor
Stockinates,ORTHO DEPT,3rd Floor
LIGHT HANDLE,ORTHO DEPT,3rd Floor
SSTRAY,ORTHO DEPT,3rd Floor



PackName,Department,Floor
Clip Applicator Open (S/M/L),GENERAL,5th Floor
Balfource Rectractor,GENERAL,5th Floor
Skin Grafting Handle,GENERAL,5th Floor
Langenback Rectractor,GENERAL,5th Floor
Harington Rectractor,GENERAL,5th Floor
Copper Vein Loop (1X2),GENERAL,5th Floor
Biopsy Punch Gynaec,GENERAL,5th Floor
Biopsy Punch Dr., Deshpande,GENERAL,5th Floor
Scoop Single Ended,GENERAL,5th Floor
MTP Cannula,GENERAL,5th Floor
UTERINE MANIPULATOR,GENERAL,5th Floor
Fibula Holding Forcep,GENERAL,5th Floor
PARKS RETRACTOR,GENERAL,5th Floor
Light Handle,GENERAL,5th Floor
SS TRAY,GENERAL,5th Floor
C02 Tubing,LAP./ ROBOTIC,5th Floor
Arthrex CO2 Tubing,LAP./ ROBOTIC,5th Floor
Horizon Clip Applicator,LAP./ ROBOTIC,5th Floor
Hemlock Clip Applicator,LAP./ ROBOTIC,5th Floor
Ethicon Clip Applicator,LAP./ ROBOTIC,5th Floor
OM Surgical Clip Applicator,LAP./ ROBOTIC,5th Floor
OM Surgical Needle Holder,LAP./ ROBOTIC,5th Floor
K/S Needle Holder Lap,LAP./ ROBOTIC,5th Floor
Ethicon Needle Holder,LAP./ ROBOTIC,5th Floor
Mayoma Screw Fiber Handle,LAP./ ROBOTIC,5th Floor
Mayoma Screw 'T'Shaped,LAP./ ROBOTIC,5th Floor
Suture Passer,LAP./ ROBOTIC,5th Floor
Port Closure Needle with.Cone,LAP./ ROBOTIC,5th Floor
Trumpet Suction Cannula,LAP./ ROBOTIC,5th Floor
Renal Dialator,UROLOGY DEPT,5th Floor
Female / Male Dialator,UROLOGY DEPT,5th Floor
Urology Catheter Introducer,UROLOGY DEPT,5th Floor
Urology Cd. Artery,UROLOGY DEPT,5th Floor
Rigid Rod,UROLOGY DEPT,5th Floor
Robotic Cannula (5 mm),ROBOTIC,5th Floor
Robotic Cannula (8 mm) (1x4),ROBOTIC,5th Floor
Robotic Bulldog,ROBOTIC,5th Floor
S' Shaped Retractor (1x2),ROBOTIC,5th Floor
Liver St, Artery,LIVER SURGERY,5th Floor
Liver Cd. Artery,LIVER SURGERY,5th Floor
Liver Hammer,LIVER SURGERY,5th Floor
Vessel loop,LIVER SURGERY,5th Floor
Stone Holding Forcep,LIVER SURGERY,5th Floor
PLASMA,PLASMA,5th Floor
Flask,PLASMA,5th Floor
Light Source,PLASMA,5th Floor
Artherx Light Source,PLASMA,5th Floor
Skin Stapler,PLASMA,5th Floor
Light Source (ENT),PLASMA,5th Floor
Thoraco Port,PLASMA,5th Floor
K/S Telescope (0', 10 mm),PLASMA,5th Floor
Arthrex Telescope (0', 10 mm),PLASMA,5th Floor
K/S Telescope (30', 10 mm),PLASMA,5th Floor
Arthrex Telescope (30', 10 mm),PLASMA,5th Floor
Telescone (0'.5 mm),PLASMA,5th Floor
Telescope (30', 2.7 mm),PLASMA,5th Floor
Telescope (30', 4 mm),PLASMA,5th Floor
Telescope (30', 5 mm),PLASMA,5th Floor
Telescope (30', 5.5 mm),PLASMA,5th Floor
Telescope (Hysteroscpe),PLASMA,5th Floor
ARTHREX Telsecope 10mm (30'&45'),PLASMA,5th Floor
ARTHREX Telsecope 10mm (30'&0'),PLASMA,5th Floor
Cystoscope,PLASMA,5th Floor
Operative Telescope,PLASMA,5th Floor
Hystescope for Dr. Anshumala,PLASMA,5th Floor
Microscope Cap,PLASMA,5th Floor
Uterine Manupulator (Robotic),PLASMA,5th Floor
ENT Telescope (0'&45') 4mm,PLASMA,5th Floor
Fan Retractor,PLASMA,5th Floor
Lap. Bipolar forcep with Cable,PLASMA,5th Floor
